"layer","id","total_time","sub_sec_cnt","sub_acc_cnt","dep","MERGE"
"1",1,633,3096,10,0,1852,12
"2",1,633,2877,10,0,1863,10
"3",1,633,4900,10,0,1479,10
"4",1,633,3036,10,0,1939,9
"5",1,633,3193,10,0,2068,9
"6",1,633,2095,10,0,585,10
"7",1,633,2026,10,0,502,9
"8",1,633,1941,10,0,873,10
"9",1,633,2210,10,0,1057,10
"10",1,633,1639,10,0,508,10
"11",1,633,1194,10,0,171,11
"12",1,633,1455,10,0,178,10
"13",1,633,1715,10,0,103,9
"14",1,633,2620,10,0,487,11
"15",1,633,2369,10,0,148,10
"16",1,633,2392,10,0,134,11
"17",1,633,1307,10,0,257,9
"18",1,633,1708,10,0,561,10
"19",1,633,1268,10,0,251,11
"20",1,633,2144,10,0,1040,10
"21",1,633,1840,10,0,123,10
"22",1,633,2058,10,0,125,9
"23",1,633,1364,10,0,144,10
"24",1,633,1926,10,0,108,10
"25",1,633,1353,10,0,175,10
"26",1,633,1353,10,0,152,10
"27",1,633,1448,10,0,198,10
"28",1,633,1346,10,0,116,10
"29",1,633,2220,10,0,1078,12
"30",1,633,2951,10,0,1921,10
"31",1,633,2642,10,0,1448,10
"32",1,633,2380,10,0,1201,10
"33",1,633,2421,10,0,1253,11
"34",1,633,3024,10,0,1888,10
"35",1,633,3061,10,0,1852,11
"36",1,633,3217,10,0,1940,11
"37",1,633,2765,10,0,1611,10
"38",1,633,2677,10,0,1659,9
"39",1,633,2763,10,0,1599,10
"40",1,633,3160,10,0,1620,11
"41",1,633,1837,10,0,714,10
"42",1,633,3036,10,0,1788,10
"43",1,633,3716,10,0,2614,10
"44",1,633,1744,10,0,491,10
"45",1,633,1931,10,0,538,11
"46",1,633,1433,10,0,199,11
"47",1,633,3346,10,0,1833,10
"48",1,633,4413,10,0,1925,10
"49",1,633,3336,10,0,2082,10
"50",1,633,3034,10,0,1453,11
"51",1,633,4162,10,0,2072,11
"52",1,633,2762,10,0,1619,9
"53",1,633,1985,10,0,824,21
"54",1,633,2897,10,0,1825,10
"55",1,633,2007,10,0,116,15
"56",1,633,3595,10,0,113,15
"57",1,633,1890,10,0,182,17
"58",1,633,1750,10,0,115,14
"59",1,633,2006,10,0,99,14
"60",1,633,1741,10,0,101,10
"61",1,633,1672,10,0,90,10
"62",1,633,1217,10,0,106,11
"63",1,633,1315,10,0,100,16
"64",1,633,1869,10,0,91,10
"65",1,633,1901,10,0,95,11
"66",1,633,3405,10,0,1423,61
"67",1,633,2696,10,0,975,27
"68",1,633,4023,10,0,1520,60
"69",1,633,2590,10,0,411,30
"70",1,633,2743,10,0,493,10
"71",1,633,2248,10,0,348,10
"72",1,633,2323,10,0,472,11
"73",1,633,1453,10,0,303,10
"74",1,633,1305,10,0,283,11
"75",1,633,1570,10,0,410,15
"76",1,633,2138,10,0,120,12
"77",1,633,1678,10,0,100,10
"78",1,633,1650,10,0,107,10
"79",1,633,2908,10,0,1426,10
"80",1,633,1795,10,0,122,10
"81",1,633,1770,10,0,97,12
"82",1,633,2267,10,0,92,12
"83",1,633,1767,10,0,124,17
"84",1,633,1455,10,0,87,12
"85",1,633,1605,10,0,94,12
"86",1,633,1163,10,0,114,10
"87",1,633,1286,10,0,99,10
"88",1,633,9092,10,0,935,12
"89",1,633,1612,10,0,231,10
"90",1,633,3043,10,0,1494,11
"91",1,633,1483,10,0,455,10
"92",1,633,2940,10,0,1744,11
"93",1,633,2876,10,0,1820,12
"94",1,633,2971,10,0,1560,10
"95",1,633,2323,10,0,1306,10
"96",1,633,2510,10,0,1185,10
"97",1,633,2790,10,0,1702,10
"98",1,633,2902,10,0,1817,10
"99",1,633,3446,10,0,1830,11
"100",1,633,2461,10,0,1371,10
"101",1,633,2737,10,0,1656,11
"102",1,633,3143,10,0,1677,10
"103",1,633,2764,10,0,1662,10
"104",1,633,2757,10,0,1742,12
"105",1,633,2639,10,0,1573,10
"106",1,633,3360,10,0,1780,10
"107",1,633,2613,10,0,1565,10
"108",1,633,4892,10,0,3827,10
"109",1,633,5846,10,0,4559,11
"110",1,633,2601,10,0,1116,11
"111",1,633,3061,10,0,1785,12
"112",1,633,4314,10,0,2039,9
"113",1,633,4410,10,0,2036,12
"114",1,633,3568,10,0,1241,11
"115",1,633,3689,10,0,1142,10
"116",1,633,3746,10,0,1171,10
"117",1,633,3896,10,0,1296,11
"118",1,633,3307,10,0,1063,13
"119",1,633,3693,10,0,1402,16
"120",1,633,3628,10,0,1293,13
"121",1,633,3829,10,0,1429,10
"122",1,633,2515,10,0,1500,10
"123",1,633,2722,10,0,1436,10
"124",1,633,2668,10,0,1508,11
"125",1,633,2801,10,0,1153,11
"126",1,633,2915,10,0,1195,10
"127",1,633,3634,10,0,2015,10
"128",1,633,3035,10,0,1254,10
"129",1,633,3689,10,0,1400,13
"130",1,633,2605,10,0,955,10
"131",1,633,3816,10,0,1757,22
"132",1,633,3321,10,0,1506,11
"133",1,633,3491,10,0,1468,11
"134",1,633,3162,10,0,1481,10
"135",1,633,3455,10,0,1828,10
"136",1,633,3307,10,0,1931,11
"137",1,633,2477,10,0,1261,11
"138",1,633,2735,10,0,1481,11
"139",1,633,2525,10,0,689,10
"140",1,633,2845,10,0,1460,9
"141",1,633,3528,10,0,1654,10
"142",1,633,3034,10,0,1633,11
"143",1,633,2447,10,0,1363,10
"144",1,633,2747,10,0,1462,12
"145",1,633,1820,10,0,804,12
"146",1,633,2104,10,0,899,11
"147",1,633,2379,10,0,913,9
"148",1,633,2841,10,0,1782,12
"149",1,633,3080,10,0,1733,11
"150",1,633,2326,10,0,957,10
"151",1,633,3361,10,0,1622,11
"152",1,633,3595,10,0,1787,10
"153",1,633,2822,10,0,1671,10
"154",1,633,1796,10,0,773,11
"155",1,633,1929,10,0,783,10
"156",1,633,2569,10,0,1408,11
"157",1,633,2791,10,0,1497,10
"158",1,633,2206,10,0,1160,12
"159",1,633,3152,10,0,2139,10
"160",1,633,3606,10,0,2485,10
"161",1,633,3391,10,0,2168,9
"162",1,633,4212,10,0,2682,10
"163",1,633,3132,10,0,1805,11
"164",1,633,3279,10,0,2194,10
"165",1,633,1254,10,0,181,11
"166",1,633,1557,10,0,240,10
"167",1,633,1704,10,0,108,12
"168",1,633,1474,10,0,128,10
"169",1,633,1299,10,0,107,9
"170",1,633,4287,10,0,3276,10
"171",1,633,1220,10,0,183,10
"172",1,633,1379,10,0,281,9
"173",1,633,1265,10,0,121,10
"174",1,633,28017,10,0,7980,10
"175",1,633,4486,10,0,995,10
"176",1,633,5551,10,0,1857,10
"177",1,633,4627,10,0,1047,10
"178",1,633,2739,10,0,1652,10
"179",1,633,5861,10,0,1880,11
"180",1,633,2752,10,0,1646,11
"181",1,633,2842,10,0,1641,11
"182",1,633,2265,10,0,1177,9
"183",1,633,3559,10,0,2067,10
"184",1,633,4330,10,0,2122,10
"185",1,633,3135,10,0,922,11
"186",1,633,4737,10,0,1197,10
"187",1,633,3245,10,0,2198,11
"188",1,633,3695,10,0,2606,11
"189",1,633,2975,10,0,1671,10
"190",1,633,4480,10,0,3358,10
"191",1,633,2163,10,0,898,10
"192",1,633,1584,10,0,472,10
"193",1,633,2746,10,0,1226,11
"194",1,633,3066,10,0,1419,11
"195",1,633,3992,10,0,1781,10
"196",1,633,2488,10,0,1354,10
"197",1,633,2865,10,0,705,10
"198",1,633,3131,10,0,2068,10
"199",1,633,3146,10,0,2016,10
"200",1,633,5772,10,0,2953,10
"201",1,633,5816,10,0,2956,10
"202",1,633,3489,10,0,1236,10
"203",1,633,7132,10,0,3772,10
"204",1,633,4533,10,0,1700,11
"205",1,633,3425,10,0,2260,10
"206",1,633,3900,10,0,2260,10
"207",1,633,4308,10,0,2238,10
"208",1,633,4346,10,0,2181,11
"209",1,633,2817,10,0,1354,11
"210",1,633,4327,10,0,3240,10
"211",1,633,5463,10,0,3656,10
"212",1,633,3133,10,0,1684,10
"213",1,633,3176,10,0,1701,10
"214",1,633,2763,10,0,1736,10
"215",1,633,2981,10,0,1963,10
"216",1,633,2129,10,0,909,11
"217",1,633,3067,10,0,1725,12
"218",1,633,2978,10,0,1885,11
"219",1,633,2350,10,0,1062,10
"220",1,633,1703,10,0,207,10
"221",1,633,2463,10,0,1437,10
"222",1,633,3650,10,0,2643,11
"223",1,633,3335,10,0,1773,10
"224",1,633,3567,10,0,2103,10
"225",1,633,3184,10,0,1883,10
"226",1,633,3546,10,0,1892,10
"227",1,633,3422,10,0,2271,10
"228",1,633,2250,10,0,1188,10
"229",1,633,3466,10,0,2430,12
"230",1,633,3031,10,0,1944,15
"231",1,633,3338,10,0,1909,10
"232",1,633,3209,10,0,1831,10
"233",1,633,2744,10,0,1723,10
"234",1,633,2836,10,0,1732,11
"235",1,633,2335,10,0,1285,11
"236",1,633,2946,10,0,1707,9
"237",1,633,2177,10,0,991,11
"238",1,633,2943,10,0,1845,11
"239",1,633,3406,10,0,1837,10
"240",1,633,3360,10,0,1868,15
"241",1,633,2777,10,0,1701,11
"242",1,633,3232,10,0,2151,10
"243",1,633,3416,10,0,2252,11
"244",1,633,4392,10,0,2891,10
"245",1,633,4266,10,0,2819,10
"246",1,633,2717,10,0,1617,10
"247",1,633,2614,10,0,1610,20
"248",1,633,4357,10,0,3172,11
"249",1,633,2516,10,0,1161,16
"250",1,633,2912,10,0,1509,10
"251",1,633,3400,10,0,1621,11
"252",1,633,3514,10,0,1785,10
"253",1,633,3846,10,0,2180,10
"254",1,633,3820,10,0,2117,10
"255",1,633,3193,10,0,1813,10
"256",1,633,3351,10,0,1992,11
"257",1,633,3390,10,0,1991,9
"258",1,633,3257,10,0,1788,11
"259",1,633,3077,10,0,1600,10
"260",1,633,3176,10,0,1596,10
"261",1,633,3271,10,0,1596,10
"262",1,633,3342,10,0,1649,11
"263",1,633,3319,10,0,1693,10
"264",1,633,3389,10,0,1812,10
"265",1,633,3667,10,0,1693,10
"266",1,633,3353,10,0,1800,11
"267",1,633,2903,10,0,1817,12
"268",1,633,3483,10,0,1583,10
"269",1,633,3284,10,0,1961,10
"270",1,633,2017,10,0,734,10
"271",1,633,3144,10,0,1813,10
"272",1,633,3028,10,0,1742,11
"273",1,633,3261,10,0,1564,9
"274",1,633,2674,10,0,1592,10
"275",1,633,2834,10,0,1802,11
"276",1,633,2961,10,0,1914,16
"277",1,633,3239,10,0,1864,10
"278",1,633,2595,10,0,1128,11
"279",1,633,2681,10,0,1130,10
"280",1,633,2283,10,0,1029,10
"281",1,633,2346,10,0,1045,9
"282",1,633,4384,10,0,2775,12
"283",1,633,4058,10,0,2746,10
"284",1,633,3871,10,0,2353,10
"285",1,633,2608,10,0,1276,10
"286",1,633,2945,10,0,1799,10
"287",1,633,2261,10,0,1228,11
"288",1,633,3203,10,0,2091,10
"289",1,633,2789,10,0,1719,9
"290",1,633,4659,10,0,3217,10
"291",1,633,2170,10,0,1159,10
"292",1,633,2558,10,0,1435,11
"293",1,633,3054,10,0,2010,12
"294",1,633,2800,10,0,1556,10
"295",1,633,3184,10,0,2070,23
"296",1,633,2939,10,0,1606,11
"297",1,633,3439,10,0,2063,14
"298",1,633,3898,10,0,2024,13
"299",1,633,3932,10,0,2070,11
"300",1,633,3524,10,0,2322,12
"301",1,633,3130,10,0,1901,10
"302",1,633,2924,10,0,1718,10
"303",1,633,3453,10,0,1689,12
"304",1,633,3462,10,0,2214,10
"305",1,633,3600,10,0,2054,10
"306",1,633,4385,10,0,3185,11
"307",1,633,2379,10,0,1246,10
"308",1,633,2895,10,0,1624,10
"309",1,633,2693,10,0,1681,12
"310",1,633,2860,10,0,1588,10
"311",1,633,3161,10,0,1713,11
"312",1,633,3363,10,0,1728,10
"313",1,633,2048,10,0,839,11
"314",1,633,2116,10,0,887,10
